date,hour,predicted_temperature,actual_temperature
2024-01-02,19,13.771799329071879,17.100183105468773
2024-01-02,20,13.940502244035436,16.426751708984398
2024-01-02,21,14.182528537059618,15.797235107421898
2024-01-02,22,14.508829133298946,15.255395507812525
2024-01-02,23,15.10678880086722,14.802407836914083
2024-01-03,0,15.265159748461604,14.444070434570335
2024-01-03,1,15.358460210710899,14.202142333984398
2024-01-03,2,15.347321164281174,14.038201904296898
2024-01-03,3,16.98013163113012,15.614862060546898
2024-01-03,4,20.256426610323533,19.337808227539085
2024-01-03,5,22.61458895961104,22.03370056152346
2024-01-03,6,24.243952000675577,24.113931274414085
2024-01-03,7,25.072132547388115,24.95417175292971
2024-01-03,8,25.56594958543858,25.670327758789085
2024-01-03,9,25.631376251978487,26.227624511718773
2024-01-03,10,25.242387634993186,26.286172485351585
2024-01-03,11,24.342778121992904,25.991387939453148
2024-01-03,12,22.607728845169984,24.822793579101585
2024-01-03,13,19.989390259547505,22.96595153808596
2024-01-03,14,17.481284227688022,21.234552001953148
2024-01-03,15,15.860336890112126,19.930780029296898
2024-01-03,16,14.82971435821292,18.73084411621096
2024-01-03,17,14.103976700755748,17.678811645507835
2024-01-03,18,13.72357888406263,16.797647094726585
2024-01-03,19,13.737048857939897,16.303491210937523
2024-01-03,20,13.905751772903454,16.039453125000023
2024-01-03,21,14.147778065927639,15.778649902343773
2024-01-03,22,14.474078662166967,15.497552490234398
2024-01-03,23,15.072038329735237,15.192895507812525
2024-01-04,0,15.230409277329622,14.91480407714846
2024-01-04,1,15.32370973957892,14.70435485839846
2024-01-04,2,15.312570693149192,14.504678344726583
2024-01-04,3,16.94538115999814,15.563775634765648
2024-01-04,4,20.221676139191555,18.40427551269533
2024-01-04,5,22.579838488479062,20.868493652343773
2024-01-04,6,24.209201529543595,22.93836364746096
2024-01-04,7,25.03738207625613,24.281091308593773
2024-01-04,8,25.531199114306602,25.390969848632835
2024-01-04,9,25.596625780846505,26.04621276855471
2024-01-04,10,25.207637163861204,26.15436706542971
2024-01-04,11,24.30802765086092,25.689385986328148
2024-01-04,12,22.572978374038005,24.28064880371096
2024-01-04,13,19.954639788415523,22.0004821777344
2024-01-04,14,17.44653375655604,20.32337341308596
2024-01-04,15,15.825586418980148,18.976235961914085
2024-01-04,16,14.794963887080941,17.76429138183596
2024-01-04,17,14.069226229623766,16.659906005859398
2024-01-04,18,13.688828412930647,15.842065429687525
2024-01-04,19,13.702298386807918,15.281457519531273
2024-01-04,20,13.871001301771472,15.001153564453148
2024-01-04,21,14.113027594795657,14.824670410156273
2024-01-04,22,14.439328191034985,14.647943115234398
2024-01-04,23,15.037287858603259,14.45301208496096
2024-01-05,0,15.19565880619764,14.28724060058596
2024-01-05,1,15.288959268446938,14.159753417968773
2024-01-05,2,15.277820222017214,14.071435546875025
2024-01-05,3,16.91063068886616,15.512597656250025
2024-01-05,4,20.186925668059573,18.38619384765628
2024-01-05,5,22.54508801734708,20.895791625976585
2024-01-05,6,24.174451058411616,22.99947509765628
2024-01-05,7,25.00263160512415,24.043389892578148
2024-01-05,8,25.496448643174624,25.011773681640648
2024-01-05,9,25.561875309714527,25.535485839843773
2024-01-05,10,25.172886692729225,25.707864379882835
2024-01-05,11,24.27327717972894,25.428018188476585
2024-01-05,12,22.538227902906023,24.27546081542971
2024-01-05,13,19.919889317283545,22.16327819824221
2024-01-05,14,17.41178328542406,20.616326904296898
2024-01-05,15,15.790835947848166,19.421182250976585
2024-01-05,16,14.760213415948959,18.332635498046898
2024-01-05,17,14.034475758491787,17.313027954101585
2024-01-05,18,13.654077941798665,16.425836181640648
2024-01-05,19,13.667547915675936,15.656106567382835
2024-01-05,20,13.836250830639493,15.39008483886721
2024-01-05,21,14.078277123663678,15.208352661132835
