date,hour,predicted_temperature,actual_temperature
2024-01-01,0,15.480483380458052,14.634820556640648
2024-01-01,1,15.595351428422793,14.415917968750025
2024-01-01,2,15.642691204095517,14.354882812500025
2024-01-01,3,17.33892103698375,16.14185485839846
2024-01-01,4,20.579307189351873,19.87842712402346
2024-01-01,5,22.93513030415739,22.76680908203128
2024-01-01,6,24.582585436432794,24.956460571289085
2024-01-01,7,25.46274516496015,26.156762695312523
2024-01-01,8,25.988681811184343,26.997659301757835
2024-01-01,9,26.078158598491978,27.53229675292971
2024-01-01,10,25.706533290664318,27.65485534667971
2024-01-01,11,24.81586906750463,27.3664489746094
2024-01-01,12,23.058243716788034,26.28855285644533
2024-01-01,13,20.370892455633978,24.392510986328148
2024-01-01,14,17.82282264971199,22.4902282714844
2024-01-01,15,16.170818167996252,21.223062133789085
2024-01-01,16,15.147922539245952,20.189355468750023
2024-01-01,17,14.448425089820677,19.21985778808596
2024-01-01,18,14.04520349221233,18.349176025390648
2024-01-01,19,14.015429012081833,17.53949890136721
2024-01-01,20,14.154245861509914,17.000299072265648
2024-01-01,21,14.356522648693534,16.597070312500023
2024-01-01,22,14.671337654365388,16.301171875000023
2024-01-01,23,15.286693324207882,16.071084594726585
2024-01-02,0,15.462642744742391,15.87433776855471
2024-01-02,1,15.577510792707136,15.747491455078148
2024-01-02,2,15.624850568379859,15.692193603515648
2024-01-02,3,17.321080401268087,16.98200378417971
2024-01-02,4,20.561466553636215,20.050592041015648
2024-01-02,5,22.917289668441732,22.48948059082033
2024-01-02,6,24.564744800717133,24.50876770019533
2024-01-02,7,25.444904529244493,25.7653747558594
2024-01-02,8,25.970841175468685,26.78000793457033
2024-01-02,9,26.06031796277632,27.35028991699221
2024-01-02,10,25.68869265494866,27.51685485839846
2024-01-02,11,24.798028431788964,27.27292785644533
2024-01-02,12,23.040403081072377,26.182916259765648
2024-01-02,13,20.35305181991832,24.103082275390648
2024-01-02,14,17.80498201399633,22.607507324218773
2024-01-02,15,16.152977532280595,21.503778076171898
2024-01-02,16,15.130081903530295,20.474542236328148
2024-01-02,17,14.430584454105016,19.470086669921898
2024-01-02,18,14.027362856496673,18.525476074218773
2024-01-02,19,13.997588376366176,17.315026855468773
2024-01-02,20,14.136405225794253,16.637689208984398
2024-01-02,21,14.338682012977877,16.002313232421898
2024-01-02,22,14.65349701864973,15.462426757812525
2024-01-02,23,15.26885268849222,15.025064086914083
2024-01-03,0,15.444802109026734,14.686257934570335
2024-01-03,1,15.559670156991475,14.465814208984398
2024-01-03,2,15.607009932664198,14.438592529296898
2024-01-03,3,17.30323976555243,15.964471435546898
2024-01-03,4,20.543625917920554,19.454995727539085
2024-01-03,5,22.899449032726075,22.10401306152346
2024-01-03,6,24.546904165001475,24.162759399414085
2024-01-03,7,25.427063893528832,25.00299987792971
2024-01-03,8,25.953000539753027,25.687905883789085
2024-01-03,9,26.042477327060663,26.256921386718773
2024-01-03,10,25.670852019233003,26.315469360351585
2024-01-03,11,24.780187796073307,26.014825439453148
2024-01-03,12,23.02256244535672,24.820840454101585
2024-01-03,13,20.33521118420266,22.89759216308596
2024-01-03,14,17.787141378280673,21.257989501953148
2024-01-03,15,16.135136896564937,20.030389404296898
2024-01-03,16,15.112241267814634,18.92615661621096
2024-01-03,17,14.412743818389359,17.913186645507835
2024-01-03,18,14.009522220781012,17.065225219726585
2024-01-03,19,13.979747740650515,16.658959960937523
2024-01-03,20,14.118564590078595,16.396875000000023
2024-01-03,21,14.320841377262216,16.106774902343773
2024-01-03,22,14.63565638293407,15.798333740234398
2024-01-03,23,15.251012052776563,15.491723632812525
2024-01-04,0,15.426961473311072,15.21363220214846
2024-01-04,1,15.541829521275817,14.98755798339846
2024-01-04,2,15.58916929694854,14.805459594726583
2024-01-04,3,17.28539912983677,15.852838134765648
2024-01-04,4,20.525785282204897,18.57029113769533
2024-01-04,5,22.881608397010417,20.987634277343773
2024-01-04,6,24.529063529285814,23.04578552246096
2024-01-04,7,25.409223257813174,24.415856933593773
2024-01-04,8,25.93515990403737,25.519876098632835
2024-01-04,9,26.024636691345002,26.18097839355471
2024-01-04,10,25.653011383517345,26.28717956542971
2024-01-04,11,24.76234716035765,25.806573486328148
2024-01-04,12,23.004721809641055,24.37830505371096
2024-01-04,13,20.317370548487002,22.0747009277344
2024-01-04,14,17.76930074256501,20.43665466308596
2024-01-04,15,16.117296260849276,19.136392211914085
2024-01-04,16,15.094400632098976,17.98499450683596
2024-01-04,17,14.394903182673698,16.945062255859398
2024-01-04,18,13.991681585065354,16.178002929687523
2024-01-04,19,13.961907104934857,15.658410644531273
2024-01-04,20,14.100723954362934,15.389825439453148
2024-01-04,21,14.303000741546558,15.213342285156273
2024-01-04,22,14.617815747218412,15.034661865234398
2024-01-04,23,15.233171417060902,14.83191833496096
2024-01-05,0,15.409120837595415,14.66028747558596
2024-01-05,1,15.52398888556016,14.526940917968773
2024-01-05,2,15.57132866123288,14.432763671875025
2024-01-05,3,17.26755849412111,15.827050781250025
2024-01-05,4,20.50794464648924,18.54635009765628
2024-01-05,5,22.863767761294753,21.020791625976585
2024-01-05,6,24.511222893570157,23.11666259765628
2024-01-05,7,25.391382622097517,24.146905517578148
2024-01-05,8,25.917319268321705,25.109429931640648
2024-01-05,9,26.006796055629344,25.594079589843773
2024-01-05,10,25.63517074780168,25.754739379882835
2024-01-05,11,24.74450652464199,25.443643188476585
2024-01-05,12,22.986881173925397,24.27936706542971
2024-01-05,13,20.29952991277134,22.17499694824221
2024-01-05,14,17.751460106849354,20.657342529296898
