date,hour,predicted_temperature,actual_temperature
2024-01-01,0,15.497497137493315,14.462945556640648
2024-01-01,1,15.653980959722919,14.115136718750025
2024-01-01,2,15.709519299639128,13.870507812500025
2024-01-01,3,17.35417902478488,15.66529235839846
2024-01-01,4,20.759614930030054,19.54248962402346
2024-01-01,5,23.18875383065706,22.42501220703128
2024-01-01,6,24.890065582193643,24.681069946289085
2024-01-01,7,25.718314883667347,25.941918945312523
2024-01-01,8,26.155464436779713,26.778909301757835
2024-01-01,9,26.179818813345907,27.33307800292971
2024-01-01,10,25.776943249948605,27.48883972167971
2024-01-01,11,24.868379682188813,27.2316833496094
2024-01-01,12,23.054471290718595,26.17136535644533
2024-01-01,13,20.426341756220417,24.372979736328148
2024-01-01,14,17.901385963919374,22.4804626464844
2024-01-01,15,16.207281265944715,21.187905883789085
2024-01-01,16,15.111186789486545,20.132714843750023
2024-01-01,17,14.380274932610838,19.14563903808596
2024-01-01,18,13.993900416150613,18.296441650390648
2024-01-01,19,13.981217988047407,17.49653015136721
2024-01-01,20,14.089881822878947,16.918267822265648
2024-01-01,21,14.274351247712865,16.411523437500023
2024-01-01,22,14.566698987146891,15.988671875000025
2024-01-01,23,15.213314953976974,15.688272094726583
2024-01-02,0,15.43968137995915,15.44269714355471
2024-01-02,1,15.59616520218875,15.274835205078148
2024-01-02,2,15.651703542104963,15.186334228515648
2024-01-02,3,17.29636326725071,16.52497253417971
2024-01-02,4,20.701799172495885,19.814263916015648
2024-01-02,5,23.130938073122895,22.27073059082033
2024-01-02,6,24.832249824659474,24.33689270019533
2024-01-02,7,25.660499126133182,25.6755310058594
2024-01-02,8,26.097648679245545,26.70774230957033
2024-01-02,9,26.12200305581174,27.29950866699221
2024-01-02,10,25.71912749241444,27.47779235839846
2024-01-02,11,24.810563924654645,27.24363098144533
2024-01-02,12,22.99665553318443,26.093072509765648
2024-01-02,13,20.368525998686252,23.997613525390648
2024-01-02,14,17.843570206385206,22.511804199218773
2024-01-02,15,16.14946550841055,21.388543701171898
2024-01-02,16,15.053371031952377,20.341729736328148
2024-01-02,17,14.32245917507667,19.327508544921898
2024-01-02,18,13.936084658616448,18.371179199218773
2024-01-02,19,13.923402230513238,17.168542480468773
2024-01-02,20,14.032066065344782,16.483392333984398
2024-01-02,21,14.216535490178696,15.834344482421898
2024-01-02,22,14.508883229612723,15.251489257812525
2024-01-02,23,15.15549919644281,14.718423461914083
2024-01-03,0,15.381865622424982,14.231179809570335
2024-01-03,1,15.538349444654585,13.842767333984398
2024-01-03,2,15.593887784570795,13.530389404296898
2024-01-03,3,17.238547509716543,15.161737060546898
2024-01-03,4,20.64398341496172,19.070230102539085
2024-01-03,5,23.073122315588726,21.79346618652346
2024-01-03,6,24.77443406712531,23.971353149414085
2024-01-03,7,25.602683368599013,25.00299987792971
2024-01-03,8,26.039832921711376,25.742593383789085
2024-01-03,9,26.064187298277574,26.317468261718773
2024-01-03,10,25.66131173488027,26.413125610351585
2024-01-03,11,24.75274816712048,26.133966064453148
2024-01-03,12,22.938839775650262,24.918496704101585
2024-01-03,13,20.310710241152083,23.04602966308596
2024-01-03,14,17.78575444885104,21.322442626953148
2024-01-03,15,16.091649750876382,20.057733154296898
2024-01-03,16,14.995555274418209,18.90076599121096
2024-01-03,17,14.264643417542505,17.868264770507835
2024-01-03,18,13.87826890108228,16.961709594726585
2024-01-03,19,13.865586472979073,16.287866210937523
2024-01-03,20,13.974250307810614,15.910546875000025
2024-01-03,21,14.158719732644528,15.616540527343773
2024-01-03,22,14.451067472078558,15.378411865234398
2024-01-03,23,15.097683438908641,15.132348632812525
2024-01-04,0,15.324049864890817,14.92456970214846
2024-01-04,1,15.480533687120417,14.74537048339846
2024-01-04,2,15.536072027036626,14.565225219726583
2024-01-04,3,17.18073175218238,15.622369384765648
2024-01-04,4,20.586167657427552,18.46091613769533
2024-01-04,5,23.01530655805456,20.905603027343773
2024-01-04,6,24.71661830959114,22.98133239746096
2024-01-04,7,25.544867611064845,24.384606933593773
2024-01-04,8,25.98201716417721,25.502297973632835
2024-01-04,9,26.006371540743405,26.15949401855471
2024-01-04,10,25.603495977346107,26.27350769042971
2024-01-04,11,24.69493240958631,25.810479736328148
2024-01-04,12,22.881024018116094,24.35096130371096
2024-01-04,13,20.25289448361792,22.0532165527344
2024-01-04,14,17.727938691316872,20.38587341308596
2024-01-04,15,16.033833993342217,19.069985961914085
2024-01-04,16,14.937739516884044,17.90491638183596
2024-01-04,17,14.206827660008337,16.825921630859398
2024-01-04,18,13.820453143548114,15.951440429687525
2024-01-04,19,13.807770715444905,15.314660644531273
2024-01-04,20,13.916434550276445,14.883966064453148
2024-01-04,21,14.100903975110363,14.609826660156273
2024-01-04,22,14.39325171454439,14.397943115234398
2024-01-04,23,15.039867681374476,14.20887145996096
2024-01-05,0,15.266234107356649,14.05481872558596
2024-01-05,1,15.422717929586248,13.941003417968773
2024-01-05,2,15.478256269502461,13.866357421875025
2024-01-05,3,17.12291599464821,15.366113281250025
2024-01-05,4,20.528351899893387,18.37056884765628
2024-01-05,5,22.957490800520393,20.887979125976585
2024-01-05,6,24.658802552056972,23.00728759765628
2024-01-05,7,25.48705185353068,24.154718017578148
2024-01-05,8,25.924201406643043,25.146539306640648
2024-01-05,9,25.94855578320924,25.670251464843773
2024-01-05,10,25.54568021981194,25.862161254882835
2024-01-05,11,24.637116652052143,25.582315063476585
2024-01-05,12,22.82320826058193,24.37116394042971
2024-01-05,13,20.19507872608375,22.24726257324221
2024-01-05,14,17.670122933782707,20.706170654296898
