region,mse_2024,rmse_2024,r2_2024
Rakhiyal,174.16838536680353,13.197287045707672,-3.9717629935091745
Bopal,415.79544754522084,20.391062933187687,-10.576348094697765
Ambawadi,415.79544754522084,20.391062933187687,-10.576348094697765
Chandkheda,261.864807636093,16.182237411312844,-6.230984128636598
Vastral,162.36675820695456,12.742321539144841,-3.624461580620176
